Date,KM,Reason
01/01/2024,11.3,Paket teslimi
02/01/2024,11.3,Paket teslimi
03/01/2024,11.3,Paket teslimi
04/01/2024,11.3,Paket teslimi
05/01/2024,11.3,Paket teslimi
08/01/2024,11.3,Paket teslimi
09/01/2024,11.3,Paket teslimi
10/01/2024,11.3,Paket teslimi
11/01/2024,11.3,Paket teslimi
12/01/2024,11.3,Paket teslimi
15/01/2024,11.3,Paket teslimi
16/01/2024,11.3,Paket teslimi
17/01/2024,11.3,Paket teslimi
18/01/2024,11.3,Paket teslimi
19/01/2024,11.3,Paket teslimi
22/01/2024,11.3,Paket teslimi
23/01/2024,11.3,Paket teslimi
24/01/2024,11.3,Paket teslimi
25/01/2024,11.3,Paket teslimi
26/01/2024,11.3,Paket teslimi
29/01/2024,11.3,Paket teslimi
30/01/2024,11.3,Paket teslimi
31/01/2024,11.3,Paket teslimi
01/02/2024,11.3,Paket teslimi
02/02/2024,11.3,Paket teslimi
05/02/2024,11.3,Paket teslimi
06/02/2024,11.3,Paket teslimi
07/02/2024,11.3,Paket teslimi
08/02/2024,11.3,Paket teslimi
09/02/2024,11.3,Paket teslimi
12/02/2024,11.3,Paket teslimi
13/02/2024,11.3,Paket teslimi
14/02/2024,11.3,Paket teslimi
15/02/2024,11.3,Paket teslimi
16/02/2024,11.3,Paket teslimi
19/02/2024,11.3,Paket teslimi
20/02/2024,11.3,Paket teslimi
21/02/2024,11.3,Paket teslimi
22/02/2024,11.3,Paket teslimi
23/02/2024,11.3,Paket teslimi
26/02/2024,11.3,Paket teslimi
27/02/2024,11.3,Paket teslimi
28/02/2024,11.3,Paket teslimi
29/02/2024,11.3,Paket teslimi
01/03/2024,11.3,Paket teslimi
04/03/2024,11.3,Paket teslimi
05/03/2024,11.3,Paket teslimi
06/03/2024,11.3,Paket teslimi
07/03/2024,11.3,Paket teslimi
08/03/2024,11.3,Paket teslimi
11/03/2024,11.3,Paket teslimi
12/03/2024,11.3,Paket teslimi
13/03/2024,11.3,Paket teslimi
14/03/2024,11.3,Paket teslimi
15/03/2024,11.3,Paket teslimi
18/03/2024,11.3,Paket teslimi
19/03/2024,11.3,Paket teslimi
20/03/2024,11.3,Paket teslimi
21/03/2024,11.3,Paket teslimi
22/03/2024,11.3,Paket teslimi
25/03/2024,11.3,Paket teslimi
26/03/2024,11.3,Paket teslimi
27/03/2024,11.3,Paket teslimi
28/03/2024,11.3,Paket teslimi
29/03/2024,11.3,Paket teslimi
01/04/2024,11.3,Paket teslimi
02/04/2024,11.3,Paket teslimi
03/04/2024,11.3,Paket teslimi
30/04/2024,14.0,Depo
29/04/2024,14.0,Depo
29/04/2024,14.0,Depo
29/04/2024,14.0,Depo
28/04/2024,14.0,Depo
28/04/2024,14.0,Depo
28/04/2024,14.0,Depo
26/04/2024,15.6,Depo
01/05/2024,5.8,Depo
01/05/2024,2.3,Cop atma
03/05/2024,18.2,Paket teslimi
07/05/2024,18.2,Paket teslimi
09/05/2024,25.4,Diger - Promosyon
16/05/2024,18.2,Paket teslimi
19/05/2024,14.3,Depo
24/05/2024,18.2,Paket teslimi
03/06/2024,18.2,Depo
06/06/2024,18.2,Depo
12/06/2024,18.2,Paket teslimi
17/06/2024,11.3,Paket teslimi
24/06/2024,18.2,Paket teslimi
26/06/2024,18.2,Paket teslimi
17/10/2024,22.7,Paket teslimi
17/07/2024,11.3,Paket teslimi
25/07/2024,11.3,Paket teslimi
08/08/2024,11.3,Paket teslimi
28/08/2024,11.3,Paket teslimi
30/08/2024,11.3,Paket teslimi
18/09/2024,11.3,Paket teslimi
05/08/2024,14.0,Depo
26/08/2024,14.0,Depo
17/09/2024,14.0,Depo
25/09/2024,14.0,Depo
